index,Beds,Baths,Area,Noise,PropertyType,DaysOnRealtor.com,YearBuilt,Latitude,Longitude,City_x,County,FemaInfo,FloodFactorHigh,LastSoldYear,SizeRank,yearly_price_delta,yearly_price_delta_percent
856,2.0,2.5,1372.0, Medium,Townhome,141.0,1989.0,26.131509,-80.279371,Plantation,Broward County,X500   (),False,2011,646,-1614.0363636363636,0.4435366537613491
857,2.0,2.5,1340.0, Medium,Townhome,30.0,1988.0,26.131872,-80.255043,Fort Lauderdale,Broward County,X500   (),False,2003,646,1325.636363636364,0.060779264671468984
858,2.0,2.0,1361.0, Medium,Single Family Home,36.0,1977.0,28.291752,-82.694799,Port Richey,Pasco County,X   (),False,2016,622,-10938.054545454546,0.15474945876255242
859,2.0,2.0,1361.0, Medium,Single Family Home,36.0,1977.0,28.291752,-82.694799,Port Richey,Pasco County,X   (),False,2016,622,-10938.054545454546,0.15474945876255242
860,2.0,2.0,1135.0, Medium,Single Family Home,41.0,1966.0,28.30973,-82.694266,Port Richey,Pasco County,X500   (),True,2020,622,-17140.0,0.4307792228377596
861,2.0,2.0,1248.0, Medium,Condo,23.0,1985.0,28.281137,-82.684467,Port Richey,Pasco County,X   (),False,2016,622,-11851.690909090908,0.2252327877881404
862,2.0,2.0,1248.0, Medium,Condo,23.0,1985.0,28.281137,-82.684467,Port Richey,Pasco County,X   (),False,2016,622,-11851.690909090908,0.2252327877881404
863,2.0,2.0,1096.0, Medium,Single Family Home,22.0,1971.0,28.309140000000006,-82.682422,Port Richey,Pasco County,X   (),False,2016,622,-9256.236363636364,1.7185241924002996
864,2.0,2.0,1190.0, Medium,Single Family Home,4.0,1973.0,28.292541,-82.70029,Port Richey,Pasco County,X   (),False,2019,622,-13664.772727272728,0.008169008004569711
865,2.0,2.0,1190.0, Medium,Single Family Home,4.0,1973.0,28.292541,-82.70029,Port Richey,Pasco County,X   (),False,2019,622,-13664.772727272728,0.008169008004569711
866,1.0,1.0,630.0, Low,Condo,32.0,1979.0,27.60376,-80.374769,Vero Beach,Indian River County,X   (),True,2006,3682,270.37575757575746,0.0959208206569604
867,2.0,2.0,840.0, High,Condo,17.0,1987.0,25.890352,-80.325912,Hialeah,Miami-Dade County,X   (),True,2002,1968,-332.25358851674633,0.22224028005532204
