index,Beds,Baths,Area,Noise,PropertyType,DaysOnRealtor.com,YearBuilt,Latitude,Longitude,City_x,County,FemaInfo,FloodFactorInfo,LastSoldYear,SizeRank
907,3.0,2.5,1856.0, Medium,Single Family Home,66.0,1997.0,26.575739000000002,-80.16535999999998,Lake Worth,Palm Beach County,X   (),flood_factor_high,2016.0,392
358,3.0,3.0,1838.0, Low,Condo,109.0,1989.0,25.757382,-80.138925,Miami Beach,Miami-Dade County,AE   (),flood_factor_high,2018.0,20572
760,1.0,1.0,720.0, Medium,Condo,41.0,1966.0,26.000653,-80.196602,Hollywood,Broward County,X500   (),flood_factor_low,2014.0,663
867,3.0,3.5,4650.0, Medium,Single Family Home,170.0,2004.0,27.777578000000002,-80.40528499999998,Vero Beach,Indian River County,X500   (),flood_factor_low,2011.0,4321
322,2.0,3.0,1950.0, Medium,Condo,2.0,1975.0,25.881211999999998,-80.163382,Miami,Miami-Dade County,AE   (),flood_factor_high,2019.0,6073
836,3.0,2.5,2152.0, Medium,Single Family Home,71.0,2006.0,26.687225,-80.138616,Greenacres,Palm Beach County,AE   (),flood_factor_low,2019.0,8229
932,3.0,2.0,1412.0, Medium,Single Family Home,356.0,2020.0,28.011882,-82.77538100000002,Dunedin,Pinellas County,X500   (),flood_factor_low,2020.0,698
632,2.0,2.5,2057.0, Medium,Townhome,193.0,1976.0,26.405392,-80.066294,Highland Beach,Palm Beach County,AE   (),flood_factor_high,2013.0,4129
1033,4.0,3.5,1987.0, Medium,Single Family Home,177.0,2003.0,27.056545,-80.12716999999998,Hobe Sound,Martin County,X   (),flood_factor_low,2002.0,4235
998,3.0,2.0,1957.0, Medium,Single Family Home,46.0,1991.0,28.366743,-82.66753800000002,Hudson,Pasco County,X   (),flood_factor_low,2009.0,1435
413,1.0,1.5,785.0, Medium,Condo,16.0,1978.0,26.313452,-80.135712,Deerfield Beach,Broward County,X500   (),flood_factor_low,2017.0,1107
51,3.0,2.5,1635.0, Medium,Townhome,36.0,1993.0,26.014152,-80.294268,Pembroke Pines,Broward County,X500   (),flood_factor_low,2000.0,3565
974,2.0,2.0,1594.0, Medium,Single Family Home,10.0,1974.0,26.138564000000002,-80.262899,Plantation,Broward County,X500   (),flood_factor_high,2020.0,952
618,2.0,2.5,2292.0, Low,Condo,37.0,2001.0,26.408565999999997,-80.066927,Highland Beach,Palm Beach County,AE   (),flood_factor_low,2002.0,4129
637,3.0,2.5,2536.0, Medium,Single Family Home,48.0,2002.0,27.248757,-80.25599799999998,Jensen Beach,Martin County,X   (),flood_factor_low,2015.0,2713
286,3.0,2.0,1200.0, Low,Single Family Home,30.0,1993.0,28.019313,-80.723244,Palm Bay,Brevard County,X   (),flood_factor_high,2004.0,1528
703,3.0,2.0,1661.0, Medium,Single Family Home,11.0,1964.0,26.125837,-80.209252,Plantation,Broward County,AH   (),flood_factor_low,1996.0,3074
528,2.0,2.5,1753.0, Medium,Condo,516.0,2007.0,26.161489000000003,-80.316023,Sunrise,Broward County,X   (),flood_factor_low,2016.0,6109
773,5.0,4.5,3900.0, Medium,Single Family Home,75.0,1993.0,26.111794,-80.399394,Weston,Broward County,X500   (),flood_factor_low,2016.0,3337
169,3.0,2.0,1900.0, Medium,Single Family Home,10.0,1986.0,28.025806,-82.751793,Dunedin,Pinellas County,X   (),flood_factor_low,2020.0,698
839,5.0,3.0,3896.0, Low,Single Family Home,83.0,2007.0,27.783540999999996,-82.427588,Apollo Beach,Hillsborough County,AE   (),flood_factor_high,2015.0,5376
111,2.0,1.5,1020.0, Medium,Townhome,7.0,1997.0,30.299242,-81.392599,Jacksonville Beach,Duval County,X500   (),flood_factor_high,2016.0,2488
233,2.0,2.0,1547.0, Medium,Condo,10.0,1980.0,25.696694,-80.161357,Key Biscayne,Miami-Dade County,AE   (),flood_factor_high,1999.0,7235
58,2.0,2.0,1516.0, Low,Single Family Home,24.0,2016.0,27.313228000000002,-80.44048000000002,Port Saint Lucie,St. Lucie County,X   (),flood_factor_low,2016.0,3044
898,3.0,3.0,3836.0, Medium,Single Family Home,9.0,1985.0,26.214521,-80.263757,Tamarac,Broward County,AH   (),flood_factor_low,2010.0,401
790,4.0,2.0,1676.0, Medium,Single Family Home,14.0,1964.0,28.552205999999998,-80.80758900000002,Titusville,Brevard County,X   (),flood_factor_low,2014.0,1346
217,2.0,2.0,1312.0, Medium,Condo,48.0,1974.0,27.94565900000001,-82.83546,Clearwater Beach,Pinellas County,VE   (),flood_factor_high,2005.0,6643
960,4.0,4.0,3342.0, Medium,Single Family Home,92.0,2004.0,26.538046,-80.053613,Boynton Beach,Palm Beach County,AE   (),flood_factor_high,2001.0,1434
555,2.0,2.0,1182.0, Medium,Condo,20.0,1974.0,28.20325900000001,-80.59556500000002,Satellite Beach,Brevard County,VE   (),flood_factor_low,2015.0,3357
727,2.0,2.5,1862.0, Low,Condo,106.0,2008.0,25.76786400000001,-80.13282199999998,Miami Beach,Miami-Dade County,AE   (),flood_factor_high,2011.0,101
317,2.0,2.0,991.0, Medium,Single Family Home,39.0,1984.0,25.993136,-80.255654,Miramar,Broward County,X   (),flood_factor_low,2020.0,96
473,3.0,2.5,1781.0, Medium,Single Family Home,95.0,1956.0,26.227109999999996,-80.09823,Pompano Beach,Broward County,X   (),flood_factor_high,2017.0,1036
1043,4.0,3.5,2434.0, Medium,Townhome,28.0,2004.0,27.860551,-82.7615,Seminole,Pinellas County,X   (),flood_factor_low,2013.0,6691
964,3.0,2.5,1705.0, Medium,Townhome,35.0,2003.0,30.281944,-81.396635,Jacksonville Beach,Duval County,X   (),flood_factor_low,2016.0,2488
673,4.0,2.0,1900.0, Low,Single Family Home,31.0,1988.0,30.02645900000001,-81.884862,Middleburg,Clay County,X   (),flood_factor_low,2016.0,753
284,3.0,2.0,1144.0, Medium,Single Family Home,92.0,1957.0,28.208211,-80.602899,Satellite Beach,Brevard County,X   (),flood_factor_high,2020.0,3357
804,2.0,2.0,880.0, Medium,Condo,136.0,1974.0,26.197504000000002,-80.234923,Fort Lauderdale,Broward County,X500   (),flood_factor_low,2016.0,365
187,3.0,2.0,1660.0, Low,Single Family Home,23.0,1997.0,28.353407,-82.59349399999998,Hudson,Pasco County,X   (),flood_factor_low,2020.0,7859
977,5.0,4.5,6513.0, Medium,Single Family Home,437.0,2016.0,26.132997,-80.311534,Plantation,Broward County,AH   (),flood_factor_low,2013.0,4552
950,3.0,2.0,1330.0, Medium,Single Family Home,121.0,1980.0,28.29468,-82.681507,Port Richey,Pasco County,X   (),flood_factor_low,2020.0,622
360,4.0,3.0,2988.0, Low,Single Family Home,37.0,2019.0,28.180813,-82.491395,Lutz,Pasco County,AE   (),flood_factor_low,2019.0,4908
1003,3.0,3.5,2485.0, Low,Single Family Home,38.0,1958.0,25.708451999999998,-80.250124,Coral Gables,Miami-Dade County,AE   (),flood_factor_high,2015.0,2060
668,5.0,3.0,3088.0, Low,Single Family Home,29.0,2009.0,30.100754,-81.554598,Saint Johns,St. Johns County,X   (),flood_factor_low,2016.0,1045
432,5.0,3.5,3197.0, Low,Single Family Home,43.0,2001.0,26.103315,-80.413442,Weston,Broward County,X500   (),flood_factor_low,2003.0,7397
487,2.0,2.0,1680.0, Medium,Townhome,190.0,1979.0,25.992503,-80.124066,Hallandale Beach,Broward County,AE   (),flood_factor_high,2016.0,230
236,4.0,2.0,1873.0, Low,Single Family Home,16.0,2010.0,28.045623,-80.64828,Melbourne,Brevard County,X   (),flood_factor_low,2010.0,2530
205,3.0,2.5,2170.0, Medium,Single Family Home,50.0,1993.0,27.840201,-82.831345,Seminole,Pinellas County,AE   (),flood_factor_high,2019.0,8605
707,3.0,3.0,2600.0, Medium,Condo,17.0,1981.0,26.394140999999998,-80.065999,Highland Beach,Palm Beach County,VE   (),flood_factor_low,2013.0,4129
817,4.0,3.0,2312.0, Low,Single Family Home,180.0,2020.0,27.935101,-80.654636,Palm Bay,Brevard County,X   (),flood_factor_low,2017.0,2924
299,2.0,2.5,3104.0, N/A,Single Family Home,15.0,1991.0,24.644574,-81.56008,Summerland Key,Monroe County,AE   (),flood_factor_low,2018.0,9917
319,3.0,2.0,1684.0, Medium,Single Family Home,1.0,1957.0,28.174746999999996,-80.592031,Satellite Beach,Brevard County,X   (),flood_factor_low,2014.0,3357
953,4.0,3.0,1670.0, Medium,Condo,16.0,2002.0,28.395086,-80.61684,Cape Canaveral,Brevard County,X   (),flood_factor_high,2016.0,6619
451,4.0,2.5,2430.0, Low,Single Family Home,23.0,2008.0,26.720214000000002,-80.20961199999998,West Palm Beach,Palm Beach County,X   (),flood_factor_low,2016.0,90
254,4.0,2.0,1920.0, Medium,Single Family Home,15.0,2003.0,28.05682100000001,-80.649774,Melbourne,Brevard County,X   (),flood_factor_low,2019.0,2530
987,4.0,2.0,1695.0, N/A,Single Family Home,112.0,1973.0,30.285245,-82.13942,Macclenny,Baker County,X   (),flood_factor_low,2018.0,8803
331,4.0,2.0,1220.0, High,Single Family Home,135.0,1959.0,26.596411,-80.071373,Lake Worth Beach,Palm Beach County,X   (),flood_factor_low,2016.0,1631
297,4.0,5.5,6287.0, Low,Single Family Home,50.0,2007.0,28.120390999999998,-82.596068,Odessa,Hillsborough County,X   (),flood_factor_low,2017.0,4485
574,2.0,3.5,3246.0, Medium,Single Family Home,28.0,1978.0,26.043198,-80.173613,Hollywood,Broward County,X500   (),flood_factor_low,2002.0,663
351,3.0,2.0,1432.0, High,Single Family Home,66.0,1954.0,25.821382999999997,-80.271354,Hialeah,Miami-Dade County,AH   (),flood_factor_low,2016.0,2322
183,3.0,2.0,1337.0, Low,Townhome,64.0,2021.0,28.354290000000002,-82.58334599999998,Hudson,Pasco County,X   (),flood_factor_low,2020.0,7859
50,3.0,2.0,1188.0, Low,Single Family Home,78.0,1976.0,27.871585999999997,-82.80416,Largo,Pinellas County,X   (),flood_factor_low,2016.0,6784
478,4.0,3.5,2280.0, Low,Single Family Home,115.0,1998.0,26.094151999999998,-80.411253,Weston,Broward County,X500   (),flood_factor_low,2016.0,7397
103,2.0,2.0,1092.0, Low,Condo,88.0,1973.0,27.464488,-80.301001,Fort Pierce,St. Lucie County,AE   (),flood_factor_high,2006.0,7537
857,3.0,2.5,1540.0, Medium,Townhome,534.0,1980.0,26.645090000000003,-80.099087,Palm Springs,Palm Beach County,X   (),flood_factor_low,2005.0,1631
924,2.0,2.0,1248.0, Medium,Condo,23.0,1985.0,28.281137,-82.684467,Port Richey,Pasco County,X   (),flood_factor_low,2016.0,622
512,2.0,2.0,1530.0, Medium,Single Family Home,24.0,1966.0,27.920003,-82.758499,Largo,Pinellas County,X   (),flood_factor_low,2009.0,1848
713,2.0,2.0,1318.0, Low,Condo,20.0,1991.0,26.439649,-81.920526,Fort Myers Beach,Lee County,AE   (),flood_factor_high,2005.0,5839
11,2.0,2.0,1197.0, Low,Condo,148.0,1983.0,27.280815000000004,-80.208807,Jensen Beach,St. Lucie County,AO   (),flood_factor_high,2019.0,2713
651,2.0,1.5,860.0, Medium,Condo,27.0,1962.0,26.616128999999997,-80.074399,Lake Worth,Palm Beach County,X   (),flood_factor_low,2005.0,1631
834,2.0,2.0,1224.0, Low,Condo,16.0,1989.0,27.120564,-80.168953,Hobe Sound,Martin County,X   (),flood_factor_low,2016.0,4235
130,4.0,4.5,3516.0, Low,Single Family Home,109.0,2014.0,27.908984999999998,-82.263836,Brandon,Hillsborough County,X   (),flood_factor_low,2015.0,476
357,3.0,2.0,2280.0, Medium,Condo,92.0,2000.0,28.152494,-80.583507,Indian Harbour Beach,Brevard County,X   (),flood_factor_low,2015.0,3357
418,4.0,2.0,1666.0, Low,Single Family Home,69.0,1963.0,27.906290000000002,-82.81018,Largo,Pinellas County,X   (),flood_factor_low,2020.0,3084
18,5.0,3.0,3000.0, Medium,Single Family Home,33.0,2006.0,26.110174,-80.284467,Plantation,Broward County,X500   (),flood_factor_low,2007.0,646
35,3.0,2.0,1550.0, Medium,Single Family Home,44.0,1993.0,26.713534999999997,-80.229626,West Palm Beach,Palm Beach County,X   (),flood_factor_low,2014.0,90
77,2.0,2.0,1324.0, Medium,Townhome,136.0,1981.0,26.927749,-80.076223,Jupiter,Palm Beach County,X   (),flood_factor_low,2019.0,5516
410,2.0,2.0,1188.0, Medium,Condo,134.0,1972.0,25.88853,-80.157453,North Miami,Miami-Dade County,AE   (),flood_factor_high,2019.0,6073
755,4.0,4.0,3821.0, Low,Single Family Home,26.0,1998.0,28.235264,-82.637658,New Port Richey,Pasco County,X   (),flood_factor_low,2017.0,936
237,5.0,4.0,3502.0, Low,Single Family Home,48.0,2005.0,26.07745,-80.351276,Davie,Broward County,X   (),flood_factor_low,2013.0,6748
503,3.0,2.0,1570.0, N/A,Single Family Home,1.0,2012.0,30.27975,-82.118628,Macclenny,Baker County,X   (),flood_factor_low,2016.0,8803
46,3.0,2.5,2028.0, Low,Townhome,16.0,2006.0,27.26875,-80.434928,Port Saint Lucie,St. Lucie County,X   (),flood_factor_low,2017.0,8629
426,2.0,1.5,1307.0, Low,Condo,353.0,1974.0,30.354069,-81.398452,Atlantic Beach,Duval County,X   (),flood_factor_low,2016.0,4161
980,3.0,2.0,1980.0, Low,Single Family Home,78.0,1975.0,28.088213,-80.68736700000002,Melbourne,Brevard County,X   (),flood_factor_low,2017.0,2530
1037,3.0,2.0,1668.0, Medium,Single Family Home,15.0,1990.0,28.61674600000001,-81.24965999999998,Oviedo,Seminole County,X   (),flood_factor_low,2010.0,456
1032,1.0,1.0,754.0, Medium,Condo,8.0,1974.0,28.013287,-82.773585,Dunedin,Pinellas County,X500   (),flood_factor_high,2018.0,698
356,3.0,3.0,2000.0, Medium,Condo,281.0,1970.0,25.982560999999997,-80.118636,Hallandale Beach,Broward County,X   (),flood_factor_high,2017.0,230
580,4.0,3.0,2265.0, N/A,Single Family Home,187.0,2021.0,30.031999999999996,-81.719921,Green Cove Springs,Clay County,X   (),flood_factor_low,2019.0,4576
